,text,class
-1,"Мне сложно находиться на едине с самим собой но при этом я не могу находиться с людьми определенное количество времени, мне становится дико дискомфортно и я начинаю жалеть что я вообще общаюсь с человеком.. на едине с собой я нахожу выход только в том что бы просто загоняться, поймал себя на мысли что мне уже дискомфортно жить без тревоги, это для меня уже стала как зона комфорта из которой я хочу выйти но не могу, самокопания и противоречия в голове постоянно мешают жить спокойно, по факту я просто существую и не более.. живя постоянным ощущением тревоги уже 5 лет я разучился адекватно и без лишних мыслей общаться и контактировать с людьми, я начинаю просто отторгать любое проявление индивидуальности в человеке будь то характер или просто привычка. Я обрезаю общение с человеком что бы просто мне было легче жить в дальнейшем что бы я не загонялся на счет того что обо мне думают или наоборот что обо мне вообще могут не думать и что я для всех пустое место, как серое пятно на фоне яркой картины. вдобавок к этому я очень сентиментальный, любое проявление жалости в мою сторону или сострадания вызывает у меня дичайшее оттаргание и панику, вследствие чего я начинаю просто рыдать захлеб.. проблемы в семье и все этом духе я даже затрагивать не буду потому что не считаю это нужным. Уже давно живу один и не могу найти общий язык с людьми из-за своего упрямого темперамента и глупых заскоков которые я пытаюсь сам побороть в себе но мне становится от этого тошно, так как кажется что я подстраиваюсь под кого то, и начинаю сразу же воспринимать все в штыки видимо хорошо об меня вытирали ноги в детстве да и в общем. Всю жизнь меня тыкали что я неполноценный, что я ничего не добьюсь, постоянно сравнивали в худшую сторону, после этого я стал дико Закомплексованным и мнительным. Не могу смотреть и слушать людей которые счастливы в своей жизни, что у них все хорошо, мне становится мерзко, так и хочется вставить свои токсичные пять копеек что бы человек уже стал приземленней, в какой то момент просто понимаю что это я проблемный, никак не люди.. был момент что я уже смирился с мыслью что я сейчас сведу счеты с собой, записал записку и все такое, как бывает это в фильмах я просто зассал факта своей смерти, и на своих же похранах я не поплачу в сторонке, я не знаю хотите критикуйте хотите - нет. Я просто хотел высказаться и не более, но просто существовать для того что бы в итоге ждать пока скопытишься я не хочу, я уже смирился с мыслью что в определенный момент я просто выберу сам дату и время для того что бы завершить свой путь в этом никчемном, лицемерном, жалком и агрессивном мире", 1
-1,"я умру в полном одиночестве, ведь в моём состоянии я лишь одна. Никто не проходит это со мной, не пытаются помочь. Осознание придёт только тогда, когда мою плоть сожрут черви", 1
-1,"живу тягой безжалостно себя убить много лет, но до сих пор не могу решиться. Плохо. И физически, и морально. Доходит до дурки, я не знаю как закончить этот цикличный мрак. Мне банально страшно.", 1
-1,"Всем привет, думаю что могу скоро откинуться я не знаю, после нейролептиков у меня проблемы с сердцем (синусовая аритмия) и желудочковое и наджелудочковое я хз кароче чо дальше... и до сих пор не могу попасть к кардиологу, сейчас пишу у меня голова кружится... в семье я ничтожество... веру в нормальную жизнь потерял мать намекнула сегодня на 3-ий раз лечь в пнд и чувствую мне пизда. мне 21 я просто уебался нахуй, религии позитив ха лол поможет пиздец... 2 года кололся потом сердце давление, в дурке терял сознание раз, на транках сидел бессоницы бля.. я бля ха за февраль три раза скорую вызвал себе сука 21 год. дышать тяжело замирания сердца или апное сердце останавливается типо на пар сек хз сука боги ангелы демоны мне так плохо монстр ебаный", 1
-1,"Я хочу умереть. Всё плохо, в отношениях попадались плохие люди, друзей нет, с родственниками отношения плохие, отец вечно орёт на меня и агрессивный. По учёбе тоже всё плохо. Профессия где я учусь мне не по душе и вызывает сложности, учителя там меня гнобят, говоря, ты тут не потянешь, но заставляют доучиваться меня отец и бабушка через силу, тупо ради среднего образования, ибо просто 9 классов считают позором . Смысл так жить, одной, никому не нужной, в этой травле ((", 1
-1,"Я ухожу... Даже дети не держат... Так устала", 1
-1,"мне 14, скоро 15. честно я устала уже всем врать что у меня все хорошо, я устала, надеюсь все это скоро закончится. удачи всем", 1
-1,"Я так устала. Столько проблем накопилось и больше не могу разгребать их одна. У друзей своя жизнь. Семьи нет, всех похоронила почти. Только бабушка, которая меня доводит каждый день до нервных срывов. Я уже неадекватно реагирую на все. Я всегда старалась помогать кому-то, но когда мне нужна была поддержка никого рядом не оказалось. Я очень одинока. И когда ты в таком тяжелом состоянии, появляются люди готовые тебя добить.", 1
-1,"Мне с кем поговорить, ни друзей, ни близких, был лучший друг которого за глаза бы хватило, но перестал со мной вообще общаться. Дед есть конечно, но у него на уме только посраться с кем либо или суды, и слушать он не умеет, всегда перебьёт негативным рассказом про кого то. Тётя живущая в другом городе, которая звонит/пишет только когда ей что то нужно. Я скоро взорвусь реально, и так сдерживал всё в себе, чтоб не напрягать никого, а теперь даже словом не с кем обмолвиться. С каждым днём всё больше возникает желание напиться вхлам, пойти в лес и уснуть там на морозе.", 1
-1,"Я не хочу жить Типа я не хочу умереть или типа того, у меня просто нет смысла жизни. Цели , серьезных увлечений, того что приносит удовольствие у меня нет. Я просто волочу свое жалкое существование. Наверное я до сих пор жива только потому что не хочу приносить проблем близким. Раньше у меня и были какие то увлечения которые приносили удовольствия но я больше не вижу в нем смысла. Я действительно пробовала что то новое , но меня ни что не затягивает. Единственные чувства которое я испытываю это злость и безразличие. Чаще они резко сменяются между собой. Я не понимаю что мне делать, я даже не помню когда это началось.", 1
-1,"Хочу покончить с собой на свой выпускной (9 класс). Я вижу смысл жизни, но то что я хочу у меня этого сейчас нет, поэтому хочу пойти на свой выпускной на железную дорогу и умереть, детство у меня было вроде норм, а вот школьное время ужасное, жизнь у меня не самая лучшая. Что скажете?", 1
-1,"Давно я хочу умереть, но для самоубийства я слишком труслив. Так как я из России, я бы мог пойти в армию на контракт и умереть в войне в Украине, но у меня есть непризывное заболевание. И я совершенно без понятия, что с этой жизнью делать. Мне ничего не интересно, я не хочу ничему учиться, я ничем заниматься. Я очень хочу лечь и умереть.", 1
-1,"Меня зовут Танай, мне 16 лет, вам может показаться это очень смешным потому что в таком возрасте не может быть депрессии, но все же, я уже 5 лет чувствую сильное опустошение и огромное желание убить своего отца, мне очень тяжело и такое чувство что моя грудь скоро разорвётся, я в течении 5 лет,каждый день чувствую себя очень плохо, я отвлекаюсь когда хожу в школу, ведь там есть с кем я могу поговорить и повеселиться, но даже так я чувствую опустошение, даже когда все спокойно и меня никто не трогает, внутри меня что то поедает.мой отец служил в армии и участвовал в двух войнах в Чечне, у него контузия, а ещё он наркоман и алкоголик, я очень плохо себя чувствую, и я очень хочу лёгкости и спокойствия внутри себя,я хочу умереть чтобы попасть к Богу, но я боюсь сделать это, есть ли какой-нибудь способ сделать это быстро и безболезненно?", 1
-1,"Привет! Я Мари! Я хочу умереть, это состояние преследует меня уже четыре года или пять лет. Я из России при этом часть ЛГБТК+ сообщества. Я встречаюсь с девушкой когда мой отец гомофоб. Я чувствую беспричинную ревность к ней. Я вечно чувствую что моя девушка не любит меня. Я боюсь завтрашнего дня. Я боюсь себя. Я боюсь того что могу причинить боль моим знакомым своих уходом из жизни. Я ужасный человек не достойнный жизни. Я чувствую что мой следующий выход будет в окно. А вместо кофты я просну голову в петлю.", 1
-1,"Знаете вроде получила все свои хотелки и даже больше, вся сижу в играх, много общения в интернете. Учусь с огромным трудом на профессию мечты. А сдохнуть хочется все равно xddd без таблеток я автоматически начинаю кромсать себя, мне это дико надоело бля. Скорее бы эти бесполезные и бесконечные походы к врачам закончились", 1
