,text,class
0,у меня умер хомячок,0
0,встаём завтра в 8 утра и делаем все дела,0
1,меня позвали на суши. и боюсь и хочу. согласилась.,0
2,валя ,0
3,"то есть вы не пишете на столько бессмысленную фигню, что вас игнорируют ваши же подруги????????????????????",0
4,"Не знаю почему никто не сделал или я не нашëл тикток, в котором тип фсбшники смотрят на Навального под песенку: ""Красивый мужчина, мужчина красивый, в отличных трусах... """,0
5,"я уже смеюсь как она.. я все делаю, как она..) люблю её",0
6,ПОДСАДИЛА,0
7,"Не хочу детей, хочу сразу внуков.",0
8,"Я: хочу выглядит круто и как самая настоящая бич  Все вокруг : ооо, ты такая милая Ууууу, я ужас, я злость , я бич",0
10,КТО МЫ И ОТКУДА ОТКУДА,0
11,", - спокойной ночи всем¡¡¡",0
12,"это эгоистично, но я сейчас.. просто почти не тревожусь ни о чем. но блин настя.. солнышко блин.. надо ж меня уебать",0
14,21 августа. кто.,0
15,"мне всегда дико страшно отвечать в рп на твиты по типу ""кинь что-то в рп и я ...""  извините",0
16,"Шла по улице в весеннем пальто, легкой одежде, а мне навстречу люди в куртках и шапках. Все смотрели на меня как на ебалайку...",0
18,Этот ривердейл хуй поймешь,0
19,итак сегодня последний день месяца а это значит что?  что я говорю какие вы замечательные и как я люблю вас!! спасибо за то что вы есть!мяу,0
20,"это, наверное, странно, но мне ни капли не стыдно",0
21,Я не могу нарисовать вторую стрелку,0
22,"Скоро скажем мы все враз ""монашев ты бидораз""",0
23,Бога нет.,0
24,"Я не знаю чего, но я этого добьюсь!",0
25,УКУСИТ ЗА ДЫРКУ,0
26,"Изучая химию, не забывайте и о математике. (с) Лектор  Любовь любовью, но головой тоже думать надо. (с) Бабушка  Почему-то я вижу сходство...",0
27,О Женя красивое имя даже если это ник мне без разницы  Все равно красиво  Маша передает привет от души и сердца,0
30,"Мне нравится сегодняшний рабочий день. Он будто на легке, да и коллектив на сегодняшний день приятный.  Но я всё ещё работаю сегодня до ночи ",0
31,Вот тут я довольна,0
32,"люди, поделитесь, как вы сохраняете стабильные здоровые отношения???",0
33,Даже НЕ мной,0
34,"хочу покрасить волосы в красный, на моих волосах это смотрелось бы красиво..  но с одной стороны, я боюсь, что волосы испортятся, а мои еще и не совсем обычные, пышные, но при этом слабые + к этому мама будет КАТЕГОРИЧЕСКИ против, да еще и если узнает про КРАСНЫЙ, то мне не жить",0
35,"*лекция по физре идёт*  преподша: чтобы избавиться от стресса, займитесь чем-то творческим *перечисляет* ...попишите что-то  я: да что ты говоришь?))))))))) а с хера ли мне фикбук не помогает, А?",0
36,"В хеллоуин в мир живых приходят мертвые и всякая нечесть, а люди водтвают страшные костюмы чтобы монстры из другого мира воспринимали их за своих и не нападали на них",0
37,ставьте лайк если тянка на аве = жиза,0
38,Вчера я спал челтх 4 часа,0
39,"никто не пугает меня так как люди считающие её тупой, и что ей просто повезло",0
40,"этот тред о том, что действительно ВАЖНО. ",0
41,"вот странно, но вот это «лучше бати только дед» дед же всегда лучше бати.. или у меня у одной такое",0
42,"Вопрос ко всем кто со мной общается, как вы счетаете, я похож на нормального человека по общению, попрошу ответить максимально честно и правдиво",0
43,"мне одной кажется, что у них парная оформа? ахах.",0
44,"Люди, просмотревшие «Магическую битву», а вы живы? А как вы остались живы при э т о м?¿?¿?¿?  Я, конечно же, нет. Поделитесь секретом выживания, пожалуйста.",0
45,я сегодня так круто макарон поела,0
46,"Так выглядит человек, которой п всей видимости наебали на деньги",0
47,мне одной кажется что от них веет одинаковым вайбом? OneDirection  5SecondsOfSummer,0
48,?: Киннит слова из песни? Пхпх Я: сколько бы дней не прошло.. Я не забуду того.. Что разбивала мне сердце убивала надежы и мечтны сожгло..,0
49,"У меня опять все плечи прыщами пошли Блин Только думала этим летом одеть топ и так ходить, но не судьба видимо",0
50,от моих звёзд осталась лишь пыль,0
51,"Расскажи нам о себе  1. Адлет 2. Свободна 3. Осты из хроники Нарнии  4. 3004 5. Твиттер 6. Ээ..его нет? 7. школа  8. Русская 9. 2 10. 0 11. Неуважение  12. 2016 13. Обниматься 14. Очень классный,,  кинь эмодзи в рп и я скину тебе вопросы",0
52,посмотрите какое чудо уснуло на мне. ,0
55,люблю дедушку.. он классный..),0
56,поговорю с тобой о симпатии к тебе ,0
57,Я пришла в какой то парк. Где я.,0
58, мои поздравления!!,0
59,спасибо миша что съел мои киндеры прингви которые я даже не стала прятать потому что в пакете лежало всем поровну.....,0
60,я хочу вишню в шоколаде. и питсу. приготовить.,0
61,ГОСПОДИ Я ТЕРПЕТЬ НЕ МОГУ МАРИНЕТТ АСТРЮК ПОЧЕМУ ТЫ СДЕЛАЛ ЕЕ ТАКОЙ ЗАВИСИМОЙ СТАЛКЕРШОЙ КОТОРАЯ ЗНАЕТ РЕЖИМ ДНЯ АДРИАНА ВПЛОТЬ ДО ВРЕМЕНИ КОГДА ОН ИДЕТ СРАТЬ  А ВОТ ЛУКУ ОНА НАОБОРОТ ОБЕСЦЕНИВАЕТ БОЖЕ КАК ЖЕ БЕСИИИИИИИИИИТ,0
62,"Мне учить экзамен, а я ловлю кринж с бывшего Саши",0
65,блять спс руссичка я теперь рыдаю иди нахуй,0
66,Так хочу на ночёвку (,0
67,Ещё живой,0
68,"в моей семье всё поровну. парень: моет посуду, чистит картошку, варит картошку я: делаю картофельное пюре, от которого он улетает космос (космос предположительно картофельный)",0
69,"извините но аргумент, из за феминизма распространяется мускулизм, не аргумент",0
71,Как же вкусно.. творожный сыр и авокадо и все на чёрном хлебе под апельсиновый сок,0
72,"диктор в рекламе сказал ""все подробности на сайте кукукола точка ру"" я уссалась со смеха",0
73,моя девушка лучшая,0
74,"{ экслибриум}  - Зачем тебе пластыри, у тебя же нет царапин?  Две светлые брови тянутся на лоб, Соловей улыбается рассеянно, касаясь пальцем какой-то самодельной цветастой наклейки на костяшке.  - Откуда ты знаешь?  »»",0
