,text,class
0,встаём завтра в 8 утра и делаем все дела,0
1,меня позвали на суши. и боюсь и хочу. согласилась.,0
2,валя ,0
3,"то есть вы не пишете на столько бессмысленную фигню, что вас игнорируют ваши же подруги????????????????????",0
4,"Не знаю почему никто не сделал или я не нашëл тикток, в котором тип фсбшники смотрят на Навального под песенку: ""Красивый мужчина, мужчина красивый, в отличных трусах... """,0
5,"я уже смеюсь как она.. я все делаю, как она..) люблю её",0
6,ПОДСАДИЛА,0
7,2 people followed me and 2 people unfollowed me // automatically checked by,0
8,romantic feelings for j-hope,0
9,"Не хочу детей, хочу сразу внуков.",0
10,"Я: хочу выглядит круто и как самая настоящая бич  Все вокруг : ооо, ты такая милая emoji>Beating heart",0
11,очему мне не дают поделиться своими мыслями,0
12,КТО МЫ И ОТКУДА ОТКУДА,0
13,", - спокойной ночи всем¡¡¡",0
14,"это эгоистично, но я сейчас.. просто почти не тревожусь ни о чем. но блин настя.. солнышко блин.. надо ж меня уебать",0
16,21 августа. кто.,0
17,"мне всегда дико страшно отвечать в рп на твиты по типу ""кинь что-то в рп и я ...""  извините",0
18,"Шла по улице в весеннем пальто, легкой одежде, а мне навстречу люди в куртках и шапках. Все смотрели на меня как на ебалайку...",0
20,Этот ривердейл хуй поймешь,0
21,итак сегодня последний день месяца а это значит что?  что я говорю какие вы замечательные и как я люблю вас!! спасибо за то что вы есть!emoji>Yellow heartparkleswo heartsparkling heartellow heartparklesevolving heartsun with rays,0
22,"это, наверное, странно, но мне ни капли не стыдно",0
23,Я не могу нарисовать вторую стрелку,0
24,"Скоро скажем мы все враз ""монашев ты бидораз""",0
25,Бога нет.,0
26,"Я не знаю чего, но я этого добьюсь!",0
27,УКУСИТ ЗА ДЫРКУ,0
28,"Изучая химию, не забывайте и о математике. (с) Лектор  Любовь любовью, но головой тоже думать надо. (с) Бабушка  Почему-то я вижу сходство...",0
29,О Женя красивое имя даже если это ник мне без разницы  Все равно красиво  Маша передает привет от души и сердца,0
30,#SuzuyaJūzō #TokyoGhoul #cosplay   Sumimasen!!,0
31,Маша и Саша охуели,0
32,блять....... самая лучшая мысль ever.......,0
34,завтра будет очень важный и сложный и волнительный день но я сильная,0
36,"блин, мне так нравится пабло(без рофла)",0
39,"Мне нравится сегодняшний рабочий день. Он будто на легке, да и коллектив на сегодняшний день приятный.  Но я всё ещё работаю сегодня до ночи emoji>Relieved faceelieved face",0
40,Вот тут я довольна,0
41,"люди, поделитесь, как вы сохраняете стабильные здоровые отношения???",0
42,Даже НЕ мной,0
43,"хочу покрасить волосы в красный, на моих волосах это смотрелось бы красиво..  но с одной стороны, я боюсь, что волосы испортятся, а мои еще и не совсем обычные, пышные, но при этом слабые + к этому мама будет КАТЕГОРИЧЕСКИ против, да еще и если узнает про КРАСНЫЙ, то мне не жить",0
44,"*лекция по физре идёт*  преподша: чтобы избавиться от стресса, займитесь чем-то творческим *перечисляет* ...попишите что-то  я: да что ты говоришь?))))))))) а с хера ли мне фикбук не помогает, А?",0
45,"В хеллоуин в мир живых приходят мертвые и всякая нечесть, а люди водтвают страшные костюмы чтобы монстры из другого мира воспринимали их за своих и не нападали на них",0
46,ставьте лайк если тянка на аве = жиза,0
47,Вчера я спал челтх 4 часа,0
48,"никто не пугает меня так как люди считающие её тупой, и что ей просто повезло",0
49,"этот тред о том, что действительно ВАЖНО. ",0
50,"вот странно, но вот это «лучше бати только дед» дед же всегда лучше бати.. или у меня у одной такое",0
51,"Вопрос ко всем кто со мной общается, как вы счетаете, я похож на нормального человека по общению, попрошу ответить максимально честно и правдиво",0
52,"мне одной кажется, что у них парная оформа? ахах.",0
53,"Люди, просмотревшие «Магическую битву», а вы живы? А как вы остались живы при э т о м?¿?¿?¿?  Я, конечно же, нет. Поделитесь секретом выживания, пожалуйста.",0
54,я сегодня так круто макарон поела,0
55,"Так выглядит человек, которой п всей видимости наебали на деньги",0
56,мне одной кажется что от них веет одинаковым вайбом?#OneDirection #5SecondsOfSummer,0
57,?: Киннит слова из песни? Пхпх Я: сколько бы дней не прошло.. Я не забуду того.. Что разбивала мне сердце убивала надежы и мечтны сожгло..,0
58,"У меня опять все плечи прыщами пошли Блин Только думала этим летом одеть топ и так ходить, но не судьба видимо",0
59,от моих звёзд осталась лишь пыль,0
60,"Расскажи нам о себе  1. Адлет 2. Свободна 3. Осты из хроники Нарнии  4. 3004 5. Твиттер 6. Ээ..его нет? 7. школа  8. Русская 9. 2 10. 0 11. Неуважение  12. 2016 13. Обниматься 14. Очень классный,,  кинь эмодзи в рп и я скину тебе вопросы",0
61,посмотрите какое чудо уснуло на мне. emoji>Pleading facerowing heart,0
64,люблю дедушку.. он классный..),0
65,поговорю с тобой о симпатии к тебе emoji>Face savouring foodace savouring food,0
66,Я пришла в какой то парк. Где я.,0
67, мои поздравления!!,0
68,спасибо миша что съел мои киндеры прингви которые я даже не стала прятать потому что в пакете лежало всем поровну.....,0
69,я хочу вишню в шоколаде. и питсу. приготовить.,0
70,ГОСПОДИ Я ТЕРПЕТЬ НЕ МОГУ МАРИНЕТТ АСТРЮК ПОЧЕМУ ТЫ СДЕЛАЛ ЕЕ ТАКОЙ ЗАВИСИМОЙ СТАЛКЕРШОЙ КОТОРАЯ ЗНАЕТ РЕЖИМ ДНЯ АДРИАНА ВПЛОТЬ ДО ВРЕМЕНИ КОГДА ОН ИДЕТ СРАТЬ  А ВОТ ЛУКУ ОНА НАОБОРОТ ОБЕСЦЕНИВАЕТ БОЖЕ КАК ЖЕ БЕСИИИИИИИИИИТ,0
71,"Мне учить экзамен, а я ловлю кринж с бывшего Саши",0
73,emoji>Dropletouthroplet/emoji>,0
74,блять спс руссичка я теперь рыдаю иди нахуй,0
75,Так хочу на ночёвку (,0
76,Ещё живой,0
77,"в моей семье всё поровну. парень: моет посуду, чистит картошку, варит картошку я: делаю картофельное пюре, от которого он улетает космос (космос предположительно картофельный)",0
78,"извините но аргумент, из за феминизма распространяется мускулизм, не аргумент",0
79,"yes, I'm gonna gatekeep bread now",0
80,Как же вкусно.. творожный сыр и авокадо и все на чёрном хлебе под апельсиновый сок,0
81,"диктор в рекламе сказал ""все подробности на сайте кукукола точка ру"" я уссалась со смеха",0
82,моя девушка лучшая,0
83,"{#экслибриум}  - Зачем тебе пластыри, у тебя же нет царапин?  Две светлые брови тянутся на лоб, Соловей улыбается рассеянно, касаясь пальцем какой-то самодельной цветастой наклейки на костяшке.  - Откуда ты знаешь?  »»",0
84,"Ещё 4 дня подряд работать, потом 1 выходной и 2 дня работы и конец всему По крайней мере я надеюсь",0
85,"Ой,может потому,что я этим всем обладаю и люблю,когда другие делают на этом акцент?",0
86,Мяу?,0
87,украла у кого-то  моя имя Юля какого оно цвета¿,0
88,"а вы заметили что в россии все необщительные дети стали подростками с полным набором детских травм, а дети которых можно было назвать солнышком стали подростками с полным набором детских травм",0
89,хотя поебать,0
91,я все ещё не могу поверить в это,0
92,"неужели нельзя меня оставить в покое, а забыла так же не интересно",0
93,"Коротко о моëм бывшем: Долбоëб, я тебя называаал.",0
95,"Что делать, если тебя хотят купить за переезд в Питер?..",0
96,"бля, иногда хочется, чтобы именно так и произшло",0
97,"в четверг я перекрасила чёрные ногти в коричневый, вчера опять в чёрный, сегодня опять в коричневый. у меня проблемы",0
99,"ханджи так же не была готова занять место эрвина, груз ответственности и осознание того чем она восхищалась сломали её, последней фразой ханджи было «титаны и в правду потрясающие» мы на секунду увидели ту ханджи которую полюбили и потеряли в 3 сезоне",0
100,Агрессивно пю чй,0
101,"Прости, не смогла стать идеальной.",0
102,"Название главы ""жизнь - сплошные плюсы"" при том что действие происходит на кладбище как бы среди крестов это мой верх постиронии и познания мемов",0
103,"сука я ебу я так обосралась когда мама у меня спросила Даша какой нам мультик посмотреть ну я доказала что не позер, сказала им рататуй посмотреть",0
104,да кто такие эти ваши циферки !!!,0
105,посмотрела «зов предков» всем спасибо я плачу над фильмом про собак второй день подряд,0
106,"щас бы купить кофе и вылить всё содержимое, потому что никто из семьи не пьёт его",0
107,"прикиньте, завтра будет другой огромный город",0
108,"давно я ничего не твитила, тем более ничего содежрательного;) последнюю неделю я чувствую себя пусто и странно и ничего делать не хочется. мне не плохо!! я просто хочу есть и спать. и в телефоне сидеть. максимальная непродуктивность. и меня саму это тяготит, неприкольно…",0
109,"По ее логике лучше если бы я ходила беременная, чем вела блять дневник охуеть",0
110,"В отношениях я иногда могу быть как ""je t'aime,mа vie"" А могу быть и ""хули ты от меня бегаешь? Ебать ты красивая! Просто поцелуй меня, не надо говорить «Спасибо» Я тот самый, кто не будет повторять это снова Талантливый подкат для талантливой особы!""",0
111,"Ругаюсь сама с собой из за того, что пока мама дома я ем три раза в день вместо одного ....",0
112,"Бляяяя, грамотность вышла из чата  Проститееееее",0
113,Хочу сырных чипсиков,0
114,"Я не знаю, но уже наверное пол года я просто ничего не понимаю, занавес все никак не рушится, я в вакууме, пустота.",0
115,ВСЕМ ДОБРОЕ УТРО ВОТ РЕАЛЬНО ДОБРОЕ РЕБЯТ Я ТАК АХУЕННО ПРОСНУЛАСЬ МММ ПРЯМ ВСЕГДА ХОЧУ ТАК ПРОСЫПАТЬСЯ а как я проснулась я говорить не буду и это не сарказм реально утро доброе а это бывает редко. И Я СРАЗУ БОДРЯЧКОМ РЕБЯТ ЩАС ЕЩЁ ВОСЬМИ УТРа нет!!!!!! гудмо!!!!!!!!!!!!!!!!!!!!,0
116,Когда я перестану строить ожидания насчёт людей.,0
117,natasha romanoff was the toughest girl in the world.,0
119,господи какая же я тупая,0
121,"куча носков Сашины с коноплёй, а мои с зайчиками",0
122,"в школе недалеко от моей сделали проверку на никотин,им каждые 2 недели будут брать кровь на глубокий никотин,и если он есть ставят на учет и штраф я ебала что за бред",0
123,"закончила смотреть третий сезон леди бага, лежу, реву.. предпоследний кадр серий многое говорит кста если учесть, что две пары из сидящих канон, то можно ли говорить, что остальные тоже станут канонными?? лично для меня шип розы с джульекой канон.. и того чела в красной кофте и",0
124,беларусь смотрит и думает кого она вырастила,0
126,жану хочется чисто по человечески отсосать.,0
127,Иду скучать на пары.,0
128,"Искал мемы про виселицу, нашёл картинку с пидорами. Что со мной не так?",0
131,Это я сегодня встретила своего «бывшего друга»,0
132,"Первую девочку засыпали вопросами, а в протоколе только 3 обязательных вопроса. Убей меня, Гарри ",0
133,с днём спазмов. ,0
134,лабораторная по АПК // по ОП,0
